restaurant_id,manager_id,restaurant_name,address,state,phone_number,cuisine,price_range,created_on,order_id,product_id,quantity,price,order_date,delivery_date,status
1,9,Gigashots,35 Chive Trail,Mansura,718-827-0263,Middle Eastern,Inexpensive,01/02/2023,1,36,53,528.7516,2022-03-10,2022-06-10,Cancelled
1,9,Gigashots,35 Chive Trail,Mansura,718-827-0263,Middle Eastern,Inexpensive,01/02/2023,40,7,35,833.84,2022-12-27,2022-12-28,Cancelled
1,9,Gigashots,35 Chive Trail,Mansura,718-827-0263,Middle Eastern,Inexpensive,01/02/2023,99,36,32,511.5097,2022-11-27,2022-11-30,Paid
2,25,Voolia,776 Bay Road,Alexandria,199-125-1799,Mediterranean,Inexpensive,26/07/2022,60,49,15,551.9696,2022-10-09,2022-11-09,Invoiced
3,28,Youbridge,816 Bunting Trail,Cairo,598-133-2788,Egyptian,Expensive,17/08/2022,61,8,41,1063.1488,2022-08-29,2022-01-09,Delivered
4,34,Zoombeat,4106 Pepper Wood Hill,Alexandria,639-590-3300,Egyptian,Expensive,12/04/2023,74,18,36,327.3396,2022-07-06,2022-10-06,Cancelled
5,3,Kamba,9 Alpine Drive,Cairo,144-890-1629,Mediterranean,Expensive,11/11/2022,2,43,19,658.3196,2023-02-16,2023-02-19,Cancelled
5,3,Kamba,9 Alpine Drive,Cairo,144-890-1629,Mediterranean,Expensive,11/11/2022,20,27,8,692.9095,2022-08-28,2022-08-29,Invoiced
5,3,Kamba,9 Alpine Drive,Cairo,144-890-1629,Mediterranean,Expensive,11/11/2022,57,44,78,2.2936,2023-03-02,2023-04-02,Cancelled
5,3,Kamba,9 Alpine Drive,Cairo,144-890-1629,Mediterranean,Expensive,11/11/2022,59,42,15,472.9233,2023-04-20,2023-04-21,Cancelled
5,3,Kamba,9 Alpine Drive,Cairo,144-890-1629,Mediterranean,Expensive,11/11/2022,80,21,46,69.7491,2022-09-19,2022-09-20,Invoiced
5,3,Kamba,9 Alpine Drive,Cairo,144-890-1629,Mediterranean,Expensive,11/11/2022,85,43,82,749.3638,2022-12-17,2022-12-18,Cancelled
5,3,Kamba,9 Alpine Drive,Cairo,144-890-1629,Mediterranean,Expensive,11/11/2022,90,45,21,1060.83,2022-06-27,2022-06-30,Invoiced
6,39,Yamia,8104 Butternut Crossing,Alexandria,525-358-6703,Egyptian,Moderate,05/06/2022,14,27,48,572.4035,2022-11-11,2022-12-11,Invoiced
6,39,Yamia,8104 Butternut Crossing,Alexandria,525-358-6703,Egyptian,Moderate,05/06/2022,83,14,21,807.4868,2023-04-29,2023-04-30,Cancelled
6,39,Yamia,8104 Butternut Crossing,Alexandria,525-358-6703,Egyptian,Moderate,05/06/2022,89,47,72,210.08,2022-07-20,2022-07-23,Paid
7,38,Livepath,13 Stang Plaza,Cairo,395-969-0584,Mediterranean,Inexpensive,23/04/2023,29,11,96,12.9084,2022-11-30,2022-01-12,Delivered
7,38,Livepath,13 Stang Plaza,Cairo,395-969-0584,Mediterranean,Inexpensive,23/04/2023,46,6,11,733.5055,2023-12-04,2023-04-13,Cancelled
7,38,Livepath,13 Stang Plaza,Cairo,395-969-0584,Mediterranean,Inexpensive,23/04/2023,48,1,43,685.1843,2022-04-10,2022-07-10,Invoiced
7,38,Livepath,13 Stang Plaza,Cairo,395-969-0584,Mediterranean,Inexpensive,23/04/2023,71,27,18,584.4541,2022-11-18,2022-11-21,Paid
7,38,Livepath,13 Stang Plaza,Cairo,395-969-0584,Mediterranean,Inexpensive,23/04/2023,78,43,32,784.3808,2023-05-02,2023-08-02,Delivered
8,23,Digitube,29589 Fordem Avenue,Matrouh,306-440-0964,Egyptian,Inexpensive,17/07/2022,13,22,50,348.439,2022-11-13,2022-11-14,Delivered
8,23,Digitube,29589 Fordem Avenue,Matrouh,306-440-0964,Egyptian,Inexpensive,17/07/2022,17,50,63,992.9736,2023-03-31,2023-01-04,Delivered
8,23,Digitube,29589 Fordem Avenue,Matrouh,306-440-0964,Egyptian,Inexpensive,17/07/2022,63,3,47,785.1692,2023-02-13,2023-02-14,Invoiced
9,49,Muxo,46740 Clove Avenue,Alexandria,242-204-2286,Mediterranean,Moderate,21/12/2022,31,21,85,63.99,2023-08-01,2023-09-01,Cancelled
10,10,Youopia,7 Meadow Ridge Circle,Matrouh,616-831-2198,Middle Eastern,Inexpensive,03/10/2022,52,20,64,245.4116,2022-05-10,2022-08-10,Paid
10,10,Youopia,7 Meadow Ridge Circle,Matrouh,616-831-2198,Middle Eastern,Inexpensive,03/10/2022,54,18,29,290.0114,2022-02-06,2022-05-06,Invoiced
11,38,Browsecat,278 Ridge Oak Place,Matrouh,753-482-2349,Mediterranean,Expensive,15/03/2023,47,3,86,799.066,2022-11-28,2022-11-29,Delivered
11,38,Browsecat,278 Ridge Oak Place,Matrouh,753-482-2349,Mediterranean,Expensive,15/03/2023,82,50,21,809.0896,2022-09-26,2022-09-27,Invoiced
12,15,Mydeo,15 Onsgard Place,Cairo,116-784-7713,Egyptian,Moderate,15/09/2022,9,48,35,798.2394,2022-10-13,2022-10-14,Cancelled
12,15,Mydeo,15 Onsgard Place,Cairo,116-784-7713,Egyptian,Moderate,15/09/2022,26,37,92,961.8652,2023-08-03,2023-09-03,Paid
12,15,Mydeo,15 Onsgard Place,Cairo,116-784-7713,Egyptian,Moderate,15/09/2022,45,18,7,275.6544,2022-02-06,2022-05-06,Delivered
12,15,Mydeo,15 Onsgard Place,Cairo,116-784-7713,Egyptian,Moderate,15/09/2022,56,20,34,237.899,2022-11-07,2022-07-14,Cancelled
12,15,Mydeo,15 Onsgard Place,Cairo,116-784-7713,Egyptian,Moderate,15/09/2022,96,37,18,889.2716,2023-01-16,2023-01-17,Cancelled
13,14,Browsecat,6 Heffernan Hill,Alexandria,800-144-3128,Egyptian,Moderate,08/09/2022,12,43,37,763.3706,2023-02-18,2023-02-19,Cancelled
13,14,Browsecat,6 Heffernan Hill,Alexandria,800-144-3128,Egyptian,Moderate,08/09/2022,27,29,55,49.5987,2022-09-25,2022-09-26,Cancelled
13,14,Browsecat,6 Heffernan Hill,Alexandria,800-144-3128,Egyptian,Moderate,08/09/2022,35,42,37,527.2823,2022-10-21,2022-10-22,Delivered
14,23,Kwinu,7 Clemons Hill,Matrouh,117-426-0883,Mediterranean,Moderate,06/04/2023,5,3,66,743.4788,2022-05-06,2022-08-06,Delivered
14,23,Kwinu,7 Clemons Hill,Matrouh,117-426-0883,Mediterranean,Moderate,06/04/2023,22,27,37,632.6565,2023-05-01,2023-08-01,Delivered
15,27,Digitube,28958 Buhler Crossing,Mansura,396-694-0069,Egyptian,Expensive,21/04/2023,7,28,91,272.859,2023-03-01,2023-04-01,Delivered
15,27,Digitube,28958 Buhler Crossing,Mansura,396-694-0069,Egyptian,Expensive,21/04/2023,58,7,85,850.5168,2023-04-17,2023-04-18,Invoiced
15,27,Digitube,28958 Buhler Crossing,Mansura,396-694-0069,Egyptian,Expensive,21/04/2023,65,39,84,937.7613,2023-02-13,2023-02-14,Delivered
